"Time (s)","Recording (a.u.)"
1.377083333E-2,1.138436608E-2
1.379166667E-2,1.108008530E-2
1.381250000E-2,1.083392370E-2
1.383333333E-2,1.059731562E-2
1.385416667E-2,1.023089234E-2
1.387500000E-2,9.805360809E-3
1.389583333E-2,9.371227585E-3
1.391666667E-2,8.950456046E-3
1.393750000E-2,8.632958867E-3
1.395833333E-2,8.352917619E-3
1.397916667E-2,8.089418523E-3
1.400000000E-2,7.756349631E-3
1.402083333E-2,7.419175003E-3
1.404166667E-2,7.086480968E-3
1.406250000E-2,6.472654641E-3
1.408333333E-2,5.806784611E-3
1.410416667E-2,5.285104271E-3
1.412500000E-2,4.802284297E-3
1.414583333E-2,4.472884815E-3
1.416666667E-2,4.208594561E-3
1.418750000E-2,3.879267722E-3
1.420833333E-2,3.422840731E-3
1.422916667E-2,2.839792985E-3
1.425000000E-2,2.208787017E-3
1.427083333E-2,1.597011578E-3
1.429166667E-2,1.072203391E-3
1.431250000E-2,5.224922788E-4
1.433333333E-2,1.273839734E-5
1.435416667E-2,-3.666136763E-4
1.437500000E-2,-7.398769958E-4
1.439583333E-2,-1.053211745E-3
1.441666667E-2,-1.258614706E-3
1.443750000E-2,-1.533915754E-3
1.445833333E-2,-1.891311374E-3
1.447916667E-2,-2.252988052E-3
1.450000000E-2,-2.664420288E-3
1.452083333E-2,-3.067588434E-3
1.454166667E-2,-3.425594419E-3
1.456250000E-2,-3.647304606E-3
1.458333333E-2,-3.711556550E-3
1.460416667E-2,-3.809385467E-3
1.462500000E-2,-3.960475326E-3
1.464583333E-2,-4.193336703E-3
1.466666667E-2,-4.498040304E-3
1.468750000E-2,-4.801204428E-3
1.470833333E-2,-5.072563887E-3
1.472916667E-2,-5.147174001E-3
1.475000000E-2,-5.080115516E-3
1.477083333E-2,-5.040458404E-3
1.479166667E-2,-5.073789507E-3
1.481250000E-2,-5.185206886E-3
1.483333333E-2,-5.236850120E-3
1.485416667E-2,-5.260968115E-3
1.487500000E-2,-5.336233880E-3
1.489583333E-2,-5.390952341E-3
1.491666667E-2,-5.523172207E-3
1.493750000E-2,-5.757195409E-3
1.495833333E-2,-5.923791789E-3
1.497916667E-2,-5.898650736E-3
1.500000000E-2,-5.788331851E-3
1.502083333E-2,-5.756658502E-3
1.504166667E-2,-5.712067708E-3
1.506250000E-2,-5.688409321E-3
1.508333333E-2,-5.696096458E-3
1.510416667E-2,-5.689080805E-3
1.512500000E-2,-5.730377976E-3
1.514583333E-2,-5.681643263E-3
1.516666667E-2,-5.561081227E-3
1.518750000E-2,-5.445891526E-3
1.520833333E-2,-5.316657014E-3
1.522916667E-2,-5.031281617E-3
1.525000000E-2,-4.622810520E-3
1.527083333E-2,-4.375665914E-3
1.529166667E-2,-4.111290909E-3
1.531250000E-2,-3.806686494E-3
1.533333333E-2,-3.558686934E-3
1.535416667E-2,-3.322901903E-3
1.537500000E-2,-3.142802743E-3
1.539583333E-2,-2.877463354E-3
1.541666667E-2,-2.525913762E-3
1.543750000E-2,-2.086239867E-3
1.545833333E-2,-1.695014769E-3
1.547916667E-2,-1.439427957E-3
1.550000000E-2,-1.115204766E-3
1.552083333E-2,-7.749425131E-4
1.554166667E-2,-4.806193465E-4
1.556250000E-2,-2.794971806E-4
1.558333333E-2,-8.938500832E-5
1.560416667E-2,1.029149571E-4
1.562500000E-2,3.284690320E-4
1.564583333E-2,7.520951331E-4
1.566666667E-2,1.188534079E-3
